timestamp	original	statuscode	mimetype
20180829152645	http://norlandascup.fr/resultats-de-la-2eme-journee/	200	text/html
20180829224032	http://norlandascup.fr/resultats-de-la-9eme-edition/	200	text/html
20180829155338	http://norlandascup.fr/resultats-de-la-troisieme-journee/	200	text/html
20170506223411	http://norlandascup.fr/resultats-des-groupes-c-et-d/	200	text/html
20160824181708	http://norlandascup.fr/retour-sur-la-cinquieme-journee/	200	text/html
20151116095416	http://norlandascup.fr/retour-sur-la-septieme-journee/	200	text/html
20160825130417	http://norlandascup.fr/retour-sur-la-sixieme-journee/	200	text/html
20160515205914	http://norlandascup.fr/services/	200	text/html
20151116095438	http://norlandascup.fr/services/inscription/	200	text/html
20151116093527	http://norlandascup.fr/services/la-boutique/	200	text/html
20151116095443	http://norlandascup.fr/services/services-supplementaires/	200	text/html
20180905145528	http://norlandascup.fr/toutes-les-photos-de-la-8eme-edition/	200	text/html
20151116095453	http://norlandascup.fr/wp-contentuploads201505nscup2015r%c3%a9sultatsd%c3%a9finitifs-pdf/	200	text/html
